Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Rarely,359,Sales,15,3,Technical Degree,1,1,3,Male,60,2,2,Laboratory Technician,4,Married,15521,13698,4,Y,Yes,15,3,1,80,3,15,4,4,15,15,14,15
46,No,Non-Travel,1328,Research & Development,5,2,Other,1,2,2,Female,41,1,3,Laboratory Technician,4,Divorced,6031,26137,4,Y,Yes,23,3,4,80,1,34,5,2,34,17,3,6
32,Yes,Travel_Frequently,1182,Research & Development,13,1,Medical,1,3,1,Male,67,2,3,Laboratory Technician,2,Divorced,11480,7297,6,Y,Yes,17,3,3,80,3,32,0,1,13,3,13,13
60,No,Travel_Rarely,875,Research & Development,5,1,Medical,1,4,3,Male,96,4,5,Laboratory Technician,3,Divorced,7164,5070,0,Y,No,11,3,2,80,0,17,1,2,6,6,6,6
25,No,Travel_Rarely,1135,Sales,11,5,Human Resources,1,5,2,Female,95,2,4,Sales Executive,1,Married,6263,9520,2,Y,No,24,4,4,80,2,25,0,3,25,5,5,3
38,No,Travel_Rarely,1413,Sales,10,3,Life Sciences,1,6,3,Male,81,3,2,Laboratory Technician,4,Married,5363,24981,1,Y,No,18,3,2,80,2,30,1,2,30,5,15,16
56,No,Travel_Rarely,949,Research & Development,20,2,Other,1,7,2,Female,34,3,1,Manufacturing Director,3,Divorced,3525,10713,9,Y,No,20,3,3,80,1,24,5,1,23,2,7,6
36,No,Travel_Rarely,453,Research & Development,13,2,Life Sciences,1,8,2,Female,40,4,3,Laboratory Technician,3,Single,16881,16796,5,Y,No,13,3,1,80,3,36,6,2,18,8,2,15
40,Yes,Travel_Rarely,1198,Sales,9,1,Other,1,9,4,Male,54,2,1,Laboratory Technician,1,Single,11165,8580,5,Y,Yes,24,3,3,80,3,36,1,3,36,10,0,16
28,No,Non-Travel,972,Research & Development,21,5,Technical Degree,1,10,4,Male,64,4,4,Sales Executive,3,Married,9847,8584,9,Y,No,21,3,1,80,1,12,1,3,0,0,0,0
28,No,Travel_Rarely,1090,Research & Development,14,1,Human Resources,1,11,1,Male,64,2,3,Sales Executive,1,Married,13743,16208,0,Y,No,16,3,1,80,2,24,4,4,24,13,15,8
